Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
P3;Hippocampus;Whole;28;3951563;45.95%
P3;Olfactory Bulb;Whole;9;6203125;45.35%
P3;Rest of Brain;Whole;152;7856250;27.25%
P4;Cerebellum;Whole;0.06;32687500;87.96%
P4;Cortex (Anterior);Left;11;2425000;35.09%
P4;Cortex (Anterior);Right;12;2425000;44.66%
P4;Cortex (Anterior);Whole;23;4850000;39.87%
P4;Cortex (Posterior);Left;0.09;8351563;38.80%
P4;Cortex (Posterior);Right;77;6914063;46.60%
P4;Cortex (Posterior);Whole;167;15265626;42.33%
P4;Hippocampus;Left;12;1976563;40.51%
P4;Hippocampus;Right;9;1875000;47.39%
P4;Hippocampus;Whole;21;3851563;43.86%
P4;Olfactory Bulb;Whole;6;3612500;60.74%
P4;Rest of Brain;Whole;121;10143750;37.06%
Q0;Cerebellum;Whole;0.06;41156250;91.79%
Q0;Cortex (Anterior);Left;8;1256250;45.87%
Q0;Cortex (Anterior);Right;0.01;1390625;38.31%
Q0;Cortex (Anterior);Whole;18;2646875;41.90%
